Test Case #,Scenario,Precondition,Test Data,Test steps,Expected Result,Labels,Priority,automation_status,Countries applicable,Partners applicable,Automation mapped TC
TC032,CS_EC_TC_023_collection_sale.spec.js - Cardstream - Expresspay,,,"Use the given Curl, and try to make a express pay sale with the below 
requirements in order
1) Master_token from master_token table Cardstream provider
2) Merchant_id = Cardstream merchant
3) Correct CVV
4) Correct Email
5) Sending value = to
6) Address = Right address linked with Card used

Change the sending to Collection and process the sale , validate the if 
sale is processed in payments table

Verify the sale in webhook log","User should see the Express pay Card_payment happening

Express pay should be successful for Collection sale

Entry should be coming in Webhook log

DB Validation - payments table (1 entry - Successful Collection Sale):
-> Verify ONE entry is created with the following fields:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_mode_id : 1 (Non-3DS)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : order_id passed in payload
   - merchant_id : merchant_id passed in payload
   - country_code : As per merchant region (e.g. GB)
   - currency_code : As per merchant region (e.g. GBP)
   - gross : Amount passed in payload
   - fee : Calculated based on fee_tier of merchant
   - net : gross - fee
   - psp_reference : CS transaction reference returned by Cardstream gateway
   - internal_reference : O<order_id>M<merchant_id>T<payment_id>
   - last_4_digits : Last 4 digits of the card used
   - firstname : first_name from payload
   - lastname : last_name from payload
   - email_address : email from payload
   - master_token_id : Resolved master_token_id from master_token table
   - shopper_id : customer_id from payload
   - cs_mid : Cardstream MID used for processing
   - TxAuthNo : Auth number returned by Cardstream gateway
   - transaction_time : Timestamp of transaction (valid BST/UTC time)
   - delete_status : 0
   - withdrawn_status : 0

Note: Collection orders (sending=collection) follow the same payments table structure as delivery sales (sending=to).","express_checkout_collection;
express_checkout_cs;
collection_sale;
",P2,Automated,UK,NA,CS_EC_TC_024_collection_sale_sanity.spec.js
TC033,CS_EC_TC_024_collection_sale_exceed_limit.spec.js- Cardstream - Expresspay,,,"Use the given Curl, and try to make a express pay sale with the below 
requirements in order
1) Master_token from master_token table Cardstream provider
2) Merchant_id = Cardstream merchant
3) Correct CVV
4) Correct Email
5) Sending value = to
6) Address = Right address linked with Card used

Set the express pay sale limit as 80 and process the order with more than 
the limit","User should see the Express pay Card_payment happening

Express pay sale should be failed

DB Validation - payments table:
-> Verify NO entry is created in the payments table
-> Validation failure is caught before the request reaches the Cardstream gateway
-> The invalid input should return an error API response without persisting any record

Note: When the transaction amount exceeds the configured Express Pay limit for the merchant, the request is rejected before reaching Cardstream. No entry is created in the payments table.","express_checkout_collection;
express_checkout_cs;
collection_exceed_limit;
",P2,Automated,UK,NA,CS_EC_TC_025_collection_sale_exceed_limit.spec.js
TC034,CS_EC_TC_025_collection_invalid_avs.spec.js - Cardstream - Expresspay,,,"Use the given Curl, and try to make a express pay sale with the below 
requirements in order
1) Master_token from master_token table Cardstream provider
2) Merchant_id = Cardstream merchant
3) Correct CVV
4) Correct Email
5) Sending value = to
6) Address = Right address linked with Card used

Validate the express pay response when avs is passed as invalid","User should see the Express pay Card_payment happening

Express pay sale should be success

DB Validation - payments table (1 entry - Successful Collection Sale):
-> Verify ONE entry is created with the following fields:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_mode_id : 1 (Non-3DS)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : order_id passed in payload
   - merchant_id : merchant_id passed in payload
   - country_code : As per merchant region (e.g. GB)
   - currency_code : As per merchant region (e.g. GBP)
   - gross : Amount passed in payload
   - fee : Calculated based on fee_tier of merchant
   - net : gross - fee
   - psp_reference : CS transaction reference returned by Cardstream gateway
   - internal_reference : O<order_id>M<merchant_id>T<payment_id>
   - last_4_digits : Last 4 digits of the card used
   - firstname : first_name from payload
   - lastname : last_name from payload
   - email_address : email from payload
   - master_token_id : Resolved master_token_id from master_token table
   - shopper_id : customer_id from payload
   - cs_mid : Cardstream MID used for processing
   - TxAuthNo : Auth number returned by Cardstream gateway
   - transaction_time : Timestamp of transaction (valid BST/UTC time)
   - delete_status : 0
   - withdrawn_status : 0

Note: Invalid AVS values do not block collection orders (sending=collection) on Cardstream. The transaction proceeds successfully.","express_checkout_collection;
express_checkout_cs;
collection_invalid_avs;
",P2,Automated,UK,NA,CS_EC_TC_026_collection_invalid_avs.spec.js
TC035,CS_EC_TC_026_collection_cs_limit.spec.js - Cardstream - Expresspay,,,"Use the given Curl, and try to make a express pay sale with the below 
requirements in order
1) Master_token from master_token table Cardstream provider
2) Merchant_id = Cardstream merchant
3) Correct CVV
4) Correct Email
5) Sending value = to
6) Address = Right address linked with Card used

Validate the express pay response when passing an amount more than cs limit 
of 50","User should see the Express pay Card_payment happening

Express pay sale should be failed

DB Validation - payments table:
-> Verify NO entry is created in the payments table
-> Validation failure is caught before the request reaches the Cardstream gateway
-> The invalid input should return an error API response without persisting any record

Note: When the transaction amount exceeds the Cardstream Express Pay limit (e.g. 50.00), the request is rejected before reaching Cardstream. No entry is created in the payments table.","express_checkout_collection;
express_checkout_cs;
collection_cs_limit;
",P2,Automated,UK,NA,CS_EC_TC_027_collection_cs_limit.spec.js
TC036,CS_EC_TC_027_ireland_sale.spec.js - Cardstream - Expresspay,,,"Use the given Curl, and try to make a express pay sale with the below 
requirements in order
1) Master_token from master_token table Cardstream provider
2) Merchant_id = Cardstream merchant for Ireland Country
3) Correct CVV
4) Correct Email
5) Sending value = to
6) Address = Right address linked with Card used

Validate the express pay response for Ireland merchant","User should see the Express pay Card_payment happening

Express pay sale should be success for Ireland merchants

DB Validation - payments table (1 entry - Successful Sale):
-> Verify ONE entry is created with the following fields:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_mode_id : 1 (Non-3DS)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : order_id passed in payload
   - merchant_id : merchant_id passed in payload
   - country_code : As per merchant region (e.g. GB)
   - currency_code : As per merchant region (e.g. GBP)
   - gross : Amount passed in payload
   - fee : Calculated based on fee_tier of merchant
   - net : gross - fee
   - psp_reference : CS transaction reference returned by Cardstream gateway
   - internal_reference : O<order_id>M<merchant_id>T<payment_id>
   - last_4_digits : Last 4 digits of the card used
   - firstname : first_name from payload
   - lastname : last_name from payload
   - email_address : email from payload
   - master_token_id : Resolved master_token_id from master_token table
   - shopper_id : customer_id from payload
   - cs_mid : Cardstream MID used for processing
   - TxAuthNo : Auth number returned by Cardstream gateway
   - transaction_time : Timestamp of transaction (valid BST/UTC time)
   - delete_status : 0
   - withdrawn_status : 0

Note: Ireland merchants use country_code : IE and currency_code : EUR in the payments table.","express_checkout_non_3ds;
express_checkout_cs;
ireland_sale;",P2,Automated,UK,NA,CS_EC_TC_028_ireland_sale.spec.js
TC041,Cardstream Express Pay - Split Commission - Global Split Type Sale Succeeds,,"split_fee: [{type_id: ex 3, value_type: 'amount', value: 2.50}]
Note: Global split types (IDs 1-8, 11, 100) can be used across all providers. New global splits can also be created via FH API token.","1. Process a Express Pay sale with a global split type (ex: type_id=3 'Delivery Fee Restaurant') in the split_fee payload.
2. Complete the payment successfully.
3. Verify the sale is successful with transaction_status_id=1.
4. Query payments_split_commission table for the split entry.
5. Verify the commission amount matches the split_fee payload.","1. Sale succeeds with global split type 鉁
2. payments_split_commission table contains entry with commission_type_id matching the split used 鉁
3. commission_amount = 2.50 as per payload 鉁
4. split_payment_flag=1 in payments table 鉁
5. All global split types are usable across all providers (Cardstream, Checkout.com, Spreedly, Adyen) 鉁

DB Validation - payments table (1 entry - Successful Sale):
-> Verify ONE entry is created with the following fields:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_mode_id : 1 (Non-3DS)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : order_id passed in payload
   - merchant_id : merchant_id passed in payload
   - country_code : As per merchant region (e.g. GB)
   - currency_code : As per merchant region (e.g. GBP)
   - gross : Amount passed in payload
   - fee : Calculated based on fee_tier of merchant
   - net : gross - fee
   - psp_reference : CS transaction reference returned by Cardstream gateway
   - internal_reference : O<order_id>M<merchant_id>T<payment_id>
   - last_4_digits : Last 4 digits of the card used
   - firstname : first_name from payload
   - lastname : last_name from payload
   - email_address : email from payload
   - master_token_id : Resolved master_token_id from master_token table
   - shopper_id : customer_id from payload
   - cs_mid : Cardstream MID used for processing
   - TxAuthNo : Auth number returned by Cardstream gateway
   - transaction_time : Timestamp of transaction (valid BST/UTC time)
   - delete_status : 0
   - withdrawn_status : 0

DB Validation - payments table - Split Partner entries:
-> Verify ONE entry per split partner merchant with:
   - order_ref : <order_id>SC<split_commission_id> (e.g. 952515216SC36010511)
   - merchant_id : Partner merchant_id (from split_fee payload)
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_mode_id : 1 (Non-3DS) or 2 (3DS) matching the main sale
   - transaction_method_id : 4 (Express Pay)
   - gross : Split amount as per split_fee value
   - fee : 0 (partner split rows carry no fee unless configured)
   - net : Same as gross
   - psp_reference : Same as main sale psp_reference
   - internal_reference : Same as main sale (O<order_id>M<merchant_id>T<payment_id>)
   - last_4_digits : Same as main sale
   - TxAuthNo : Same as main sale
   - master_token_id : Same as main sale
   - shopper_id : Same as main sale
   - cs_mid : NULL (partner rows do not carry cs_mid)
   - delete_status : 0
   - withdrawn_status : 0

DB Validation - payments_split_commission table:
-> Verify entry with commission_type_id, partner_merchant_id, amount as per split_fee payload","express_checkout_splits;
express_checkout_cs;
split_type_global;
",P2,Automated,UK,NA,CS_EC_TC_034_sale_with_split_and_partial_refund.spec.js
TC042,Cardstream Express Pay - Split Commission - Invalid Split Type ID Rejected,,"split_fee: [{type_id: 9999, value_type: 'amount', value: 2.50}]
Note: Only valid global split type IDs (ex: 1-8, 11, 100) or newly created splits via API are accepted. Partner-specific merchants (FASTFOOD/EDININGEXPRESS) transact through Adyen only.","1. Process a Express Pay sale with an invalid/non-existent split type_id (ex: type_id=9999) in the split_fee payload.
2. Verify the transaction is rejected before authorization.
3. Confirm no payments_split_commission entry is created.
4. Verify no payment record is created.","1. Sale is rejected 鉁
2. API responds with error: 'invalid type id' 鉁
3. No payments_split_commission record created 鉁
4. No payment record created 鉁
5. Only valid split type IDs from split_commission_types table are accepted 鉁

DB Validation - payments table:
-> Verify NO entry is created in the payments table for the rejected transaction
-> The invalid/soft-deleted split type should cause rejection before authorisation
-> Confirm no payments_split_commission record is created","express_checkout_splits;
express_checkout_cs;
split_invalid_type;
",P2,Pending,UK,NA,NA
TC043,Cardstream Express Pay - Split Commission - Soft-Deleted Split Type (delete_status=0) Blocks Sale,,"split_fee: [{type_id: <soft_deleted_split_id>, value_type: 'amount', value: 2.50}]
Precondition: Use DELETE API on an existing split type 鈫 verify delete_status=0 in split_commission_types table","1. Use the DELETE API to soft-delete an existing split type (sets delete_status=0 in split_commission_types table).
2. Verify the split_commission_types table shows delete_status=0 for the deleted split type.
3. Process a Express Pay sale using the soft-deleted split type_id in the split_fee payload.
4. Verify the transaction is rejected before authorization.
5. Confirm no payments_split_commission entry is created.","1. DELETE API successfully soft-deletes the split type 鉁
2. split_commission_types table shows delete_status=0 for the target split 鉁
3. Sale using soft-deleted split type is rejected 鉁
4. API responds with error: 'invalid type id' 鉁
5. No payments_split_commission record created 鉁
6. No payment record created 鉁

DB Validation - payments table:
-> Verify NO entry is created in the payments table for the rejected transaction
-> The invalid/soft-deleted split type should cause rejection before authorisation
-> Confirm no payments_split_commission record is created","express_checkout_splits;
express_checkout_cs;
split_soft_deleted;
",P2,Automated,UK,NA,CS_EC_TC_109_sale_with_one_dynamic_split_delete_status_zero.spec.js
TC045,CARDSTREAM - Express Pay - Sale with Splits + Full Refund (Main + Split Partners),"- Merchant should be pointed to Cardstream
- A valid Cardstream master_token available for the customer_id
- Two split partner merchants configured with different split_fee types
- Merchant fee_tier configured (fee will be calculated on main and applicable split rows)","- Refer Apidog documentation for Express Pay payload with split_fee

- Pass a valid amount within the CS Express Pay limit

- Two splits in split_fee:
  Split 1: {""partner_merchant_id"": ""<partner_mid_1>"", ""type_id"": <type>, ""value_type"": ""amount"", ""value"": ""<split_amount>""}
  Split 2: {""partner_merchant_id"": ""<partner_mid_2>"", ""type_id"": <type>, ""value_type"": ""amount"", ""value"": ""<split_amount>""}

- sending: ""to""
- api_key: refer to QA team for Stage key
- WebhookUrl: webhook_url","1. Process Express Pay sale with valid payload including split_fee array with two partner splits

2. Verify 200 response with Success and payment_id

3. Validate payments table 鈥 main sale entry and two split partner entries

4. Validate payments_split_commission table entries for both splits

5. Process a full refund for the above order using the refund API

6. Verify refund response is success

7. Validate payments table 鈥 main refund entry and two split partner refund entries","1. Sale API returns 200 with Success and payment_id

DB Validation - payments table (1 entry - Main Sale):
-> Verify ONE entry created with:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_mode_id : 1 (Non-3DS)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : order_id passed in payload
   - merchant_id : merchant_id passed in payload
   - country_code : GB, currency_code : GBP
   - gross : Amount passed in payload
   - fee : Calculated based on fee_tier of merchant
   - net : gross - fee
   - psp_reference : CS transaction reference (e.g. 26031711GF53MZ21NH66KCB)
   - internal_reference : O<order_id>M<merchant_id>T<payment_id>
   - last_4_digits : Last 4 digits of card used (e.g. 0821)
   - firstname / lastname / email_address : As per payload
   - master_token_id : Resolved from master_token table
   - shopper_id : customer_id from payload
   - cs_mid : Cardstream MID used for processing
   - TxAuthNo : Auth number returned by Cardstream (e.g. 932057)
   - delete_status : 0, withdrawn_status : 0

DB Validation - payments table - Split Partner Sale entries:
-> Verify ONE entry per split partner with:
   - order_ref : <order_id>SC<split_commission_id> (e.g. 91987744SC36013791)
   - merchant_id : Partner merchant_id (from split_fee payload)
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_mode_id : 1 (matching main sale)
   - transaction_method_id : 4 (Express Pay)
   - gross : Split amount as per split_fee value
   - fee : 0 for splits without fee tier; calculated for splits with fee tier
   - net : gross - fee
   - psp_reference : Same as main sale psp_reference
   - internal_reference : Same as main sale (O<order_id>M<merchant_id>T<payment_id>)
   - last_4_digits : Same as main sale
   - TxAuthNo : Same as main sale
   - master_token_id : Same as main sale
   - shopper_id : Same as main sale
   - cs_mid : Cardstream MID (122468)
   - delete_status : 0, withdrawn_status : 0

DB Validation - payments_split_commission table:
-> Verify entry per split with commission_type_id, partner_merchant_id, amount as per split_fee payload

5. Refund API returns success

DB Validation - payments table (1 entry - Main Refund):
-> Verify ONE additional entry created for the refund with:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 2 (Refund)
   - transaction_mode_id : 0 (Refund mode)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : Same order_id as original sale
   - merchant_id : Same as original sale
   - gross : Negative of original gross (e.g. -800 for an 8.00 refund)
   - fee : Negative of original fee (e.g. -238)
   - net : Negative of original net (e.g. -562)
   - psp_reference : Same as original sale psp_reference (e.g. 26031711GF53MZ21NH66KCB)
   - internal_reference : Same as original sale (O<order_id>M<merchant_id>T<payment_id>)
   - last_4_digits : NULL
   - TxAuthNo : NULL
   - master_token_id : NULL
   - cs_mid : NULL
   - shopper_id : Same as original sale
   - reason : Refund reason text referencing original payment id (#<original_id>)
   - delete_status : 0, withdrawn_status : 0

DB Validation - payments table - Split Partner Refund entries:
-> Verify ONE additional negative entry per split partner with:
   - order_ref : Same as split sale row (e.g. 91987744SC36013791)
   - merchant_id : Same partner merchant_id
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 2 (Refund)
   - transaction_mode_id : 1 (matches split sale row 鈥 NOT 0 like main refund)
   - transaction_method_id : 4 (Express Pay)
   - gross : Negative of split gross (e.g. -100)
   - fee : Negative of split fee (0 if split had no fee; -23 if split carried a fee)
   - net : Negative of split net (e.g. -100 or -77)
   - psp_reference : NULL (split refund rows do not carry psp_reference)
   - internal_reference : NULL
   - last_4_digits : NULL
   - TxAuthNo : NULL
   - master_token_id : Preserved from original split sale (e.g. 87856487) 鈥 unlike main refund which sets this to NULL
   - shopper_id : Same as original sale
   - cs_mid : NULL
   - delete_status : 0, withdrawn_status : 0

Key differences between main refund and split refund rows:
-> Main refund: transaction_mode_id=0, psp_reference=SAME as sale, master_token_id=NULL, cs_mid=NULL
-> Split refund: transaction_mode_id=1 (same as split sale), psp_reference=NULL, master_token_id=PRESERVED (not NULL), cs_mid=NULL","express_checkout_splits;
express_checkout_cs;
sale_refund_with_splits;
",P1,Automated,UK,NA,CS_EC_TC_072_sale_with_split_and_full_refund.spec.js
TC046,"CARDSTREAM - Express Pay - Sale with Splits + Partial Refund (Main only, no split refund)","- Merchant pointed to Cardstream
- Valid Cardstream master_token available
- Split partner merchants configured
- Partial refund amount less than original gross","- Pass a valid amount with split_fee array

- Partial refund amount: less than the original gross (e.g. refund a portion of the total)

- split_fee: [{""partner_merchant_id"": ""<partner_mid>"", ""type_id"": <type>, ""value_type"": ""amount"", ""value"": ""<split_amount>""}]

- sending: ""to""
- api_key: refer to QA team","1. Process Express Pay sale with valid payload including split_fee array

2. Verify sale is successful 鈥 validate payments table for main + split entries

3. Process a PARTIAL refund for an amount less than the original gross

4. Verify partial refund response is success

5. Validate payments table 鈥 verify partial refund entry with correct negative gross/fee/net values

6. Verify the original sale entry is unchanged (transaction_status_id remains 1)","1. Sale succeeds 鈥 full entry in payments table as per TC045 sale DB block

3. Partial refund API returns success

DB Validation - payments table (1 entry - Partial Refund):
-> Verify ONE additional entry for the partial refund:
   - transaction_status_id : 2 (Refund)
   - transaction_mode_id : 0 (Refund mode)
   - gross : Negative of refund amount only (e.g. -300 for a 3.00 partial refund)
   - fee : Proportional negative fee
   - net : gross - fee (negative)
   - psp_reference : Same as original sale psp_reference
   - internal_reference : Same as original sale
   - last_4_digits : NULL, TxAuthNo : NULL, master_token_id : NULL, cs_mid : NULL
   - reason : Refund reason text referencing original payment_id (#<original_id>)

-> Original sale entry in payments table remains unchanged with transaction_status_id : 1

Note: Split partner refund entries are created proportionally for splits when a partial refund is processed. Verify payments_split_commission is not duplicated.","express_checkout_splits;
express_checkout_cs;
partial_refund;
",P1,Automated,UK,NA,CS_EC_TC_071_sale_with_split_and_partial_refund_to_card.spec.js
TC047,CARDSTREAM - Express Pay 3DS - Sale with Splits + Full Refund (Main + Split Partners),"- Merchant pointed to Cardstream
- Valid Cardstream master_token available
- express_pay_cs_3ds_toggle_rate : 1
- Transaction amount above xpress_sale_threeds_limit to trigger 3DS
- Two split partner merchants configured","- Pass a valid amount above the xpress_sale_threeds_limit to trigger 3DS

- Two splits in split_fee:
  Split 1: {""partner_merchant_id"": ""<partner_mid_1>"", ""type_id"": <type>, ""value_type"": ""amount"", ""value"": ""<split_amount>""}
  Split 2: {""partner_merchant_id"": ""<partner_mid_2>"", ""type_id"": <type>, ""value_type"": ""amount"", ""value"": ""<split_amount>""}

- sending: ""to""
- api_key: refer to QA team","1. Process Express Pay sale 鈥 amount above 3DS threshold with split_fee array

2. Complete the 3DS challenge and verify sale is authenticated

3. Validate payments table 鈥 Entry 1 (status=11) and Entry 2 (status=1) plus split partner entries

4. Validate payments_split_commission table

5. Process a full refund for the above order

6. Validate payments table 鈥 main refund entry and split partner refund entries","1-3. Sale succeeds after 3DS authentication

DB Validation - payments table (2 entries - 3DS Sale):

Entry 1 - 3DS Initiated:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 11 (3DS Initiated / threeds_required)
   - transaction_mode_id : 1 (before 3DS redirect)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : order_id from payload
   - merchant_id : merchant_id from payload
   - gross / fee / net : As per payload amount and fee_tier
   - psp_reference : NULL
   - internal_reference : NULL
   - last_4_digits : NULL
   - TxAuthNo : NULL
   - master_token_id : Resolved from master_token table
   - shopper_id : customer_id from payload
   - cs_mid : Cardstream MID used
   - reason : threeds_required - <challenge_code>
   - delete_status : 0, withdrawn_status : 0

Entry 2 - 3DS Authenticated:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_mode_id : 2 (3DS authenticated)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : Same as Entry 1
   - merchant_id : Same as Entry 1
   - gross / fee / net : Same as Entry 1
   - psp_reference : CS reference after 3DS completion
   - internal_reference : O<order_id>M<merchant_id>T<payment_id> (Entry 2 payment_id)
   - last_4_digits : Last 4 digits of card used
   - TxAuthNo : CS auth number post-3DS
   - master_token_id : Same as Entry 1
   - shopper_id : Same as Entry 1
   - cs_mid : Same Cardstream MID
   - reason : Empty string
   - delete_status : 0, withdrawn_status : 0

DB Validation - payments table - Split Partner entries (3DS Sale):
-> Verify ONE entry per split partner (created alongside Entry 2 after 3DS completion):
   - order_ref : <order_id>SC<split_commission_id>
   - merchant_id : Partner merchant_id
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 1 (Success)
   - transaction_mode_id : 2 (matches Entry 2 of main 3DS sale)
   - transaction_method_id : 4 (Express Pay)
   - gross : Split amount, fee : as configured, net : gross - fee
   - psp_reference : Same as Entry 2 psp_reference
   - internal_reference : Same as Entry 2
   - last_4_digits : Same as Entry 2
   - TxAuthNo : Same as Entry 2
   - master_token_id / shopper_id : Same as main sale
   - cs_mid : Cardstream MID
   - delete_status : 0, withdrawn_status : 0

DB Validation - payments_split_commission table:
-> Verify entry per split with commission_type_id, partner_merchant_id, amount as per split_fee payload

5. Refund API returns success

DB Validation - payments table (1 entry - Main Refund):
-> Verify ONE additional entry created for the refund with:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 2 (Refund)
   - transaction_mode_id : 0 (Refund mode)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : Same order_id as original sale
   - merchant_id : Same as original sale
   - gross : Negative of original gross (e.g. -800 for an 8.00 refund)
   - fee : Negative of original fee (e.g. -238)
   - net : Negative of original net (e.g. -562)
   - psp_reference : Same as original sale psp_reference (e.g. 26031711GF53MZ21NH66KCB)
   - internal_reference : Same as original sale (O<order_id>M<merchant_id>T<payment_id>)
   - last_4_digits : NULL
   - TxAuthNo : NULL
   - master_token_id : NULL
   - cs_mid : NULL
   - shopper_id : Same as original sale
   - reason : Refund reason text referencing original payment id (#<original_id>)
   - delete_status : 0, withdrawn_status : 0

DB Validation - payments table - Split Partner Refund entries:
-> Verify ONE additional negative entry per split partner with:
   - order_ref : Same as split sale row (e.g. 91987744SC36013791)
   - merchant_id : Same partner merchant_id
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 2 (Refund)
   - transaction_mode_id : 1 (matches split sale row 鈥 NOT 0 like main refund)
   - transaction_method_id : 4 (Express Pay)
   - gross : Negative of split gross (e.g. -100)
   - fee : Negative of split fee (0 if split had no fee; -23 if split carried a fee)
   - net : Negative of split net (e.g. -100 or -77)
   - psp_reference : NULL (split refund rows do not carry psp_reference)
   - internal_reference : NULL
   - last_4_digits : NULL
   - TxAuthNo : NULL
   - master_token_id : Preserved from original split sale (e.g. 87856487) 鈥 unlike main refund which sets this to NULL
   - shopper_id : Same as original sale
   - cs_mid : NULL
   - delete_status : 0, withdrawn_status : 0

Key note for 3DS refund split rows:
-> Split refund transaction_mode_id : 1 (not 2 鈥 reverts to mode 1 for refund rows regardless of 3DS sale)
-> Split refund psp_reference : NULL, internal_reference : NULL
-> Split refund master_token_id : Preserved (same value as sale)","express_checkout_3ds;
express_checkout_splits;
express_checkout_cs;
sale_refund_3ds_splits;",P1,Automated,UK,NA,CS_EC_TC_070_sale_with_split_and_full_refund_to_card.spec.js
TC049,CARDSTREAM - Express Pay - Sale + Refund - Verify Refund Cannot Exceed Original Sale Amount,"- Merchant pointed to Cardstream
- Valid Cardstream master_token available
- A successful Express Pay sale completed","- Scenario A: Process a full refund for the exact original gross amount 鈥 should succeed

- Scenario B: Attempt a refund for an amount exceeding the original gross 鈥 should fail

- Scenario C: Attempt a refund for zero amount 鈥 should fail

- Scenario D: Attempt a refund with a negative amount 鈥 should fail

- api_key: refer to QA team","1. Process a successful Express Pay sale

2. Scenario A: Process full refund for the exact original gross 鈥 verify success

3. Scenario B: Attempt refund for an amount exceeding the original gross 鈥 verify rejected

4. Scenario C: Attempt refund with zero amount 鈥 verify rejected

5. Scenario D: Attempt refund with negative amount 鈥 verify rejected

6. For each scenario validate the payments table accordingly","Scenario A - Full refund (8.00):
-> Refund API returns success
DB Validation - payments table (1 entry - Main Refund):
-> Verify ONE additional entry created for the refund with:
   - payment_provider_id : 1 (Cardstream)
   - transaction_status_id : 2 (Refund)
   - transaction_mode_id : 0 (Refund mode)
   - transaction_method_id : 4 (Express Pay)
   - order_ref : Same order_id as original sale
   - merchant_id : Same as original sale
   - gross : Negative of original gross (e.g. -800 for an 8.00 refund)
   - fee : Negative of original fee (e.g. -238)
   - net : Negative of original net (e.g. -562)
   - psp_reference : Same as original sale psp_reference (e.g. 26031711GF53MZ21NH66KCB)
   - internal_reference : Same as original sale (O<order_id>M<merchant_id>T<payment_id>)
   - last_4_digits : NULL
   - TxAuthNo : NULL
   - master_token_id : NULL
   - cs_mid : NULL
   - shopper_id : Same as original sale
   - reason : Refund reason text referencing original payment id (#<original_id>)
   - delete_status : 0, withdrawn_status : 0

Scenario B - Refund exceeding original amount (9.00):
-> API returns error response (e.g. 'Refund amount exceeds original transaction')
-> DB Validation - payments table: Verify NO new refund entry is created

Scenario C - Zero refund amount:
-> API returns error response
-> DB Validation - payments table: Verify NO new refund entry is created

Scenario D - Negative refund amount:
-> API returns error response
-> DB Validation - payments table: Verify NO new refund entry is created","express_checkout_non_3ds;
express_checkout_cs;
refund_boundary_validation;",P2,Pending,UK,NA,NA
TC063,CARDSTREAM - Express Pay - Price Uplift (type_id=7),,"split_fee: [{type_id: 7, value_type: ""amount"", value: 5}]
Sale amount: 30.00
paymentV2 endpoint
Master token: valid Cardstream token","1. Use the paymentV2 cURL endpoint

2. Include price uplift split in the payload:
   split_fee: [{type_id: 7, value_type: ""amount"", value: 5}]

3. Include a valid Cardstream master_token and merchant_id

4. Send the request and verify HTTP 200 success response

5. Verify the payments table:
   - payment_provider_id: 1 (Cardstream)
   - transaction_status_id: 1
   - transaction_method_id: 4 (Express Pay)
   - gross: sale amount in pence

6. Verify the payments_split_commission table:
   - commission_type_id: 7
   - commission_amount: 500 (£5.00)

7. Verify the datman_commission table for main amount (id=1) and uplift amount (id=16)

8. Verify webhook_log is updated","1. Express Pay with price uplift succeeds

2. payments table:
   - payment_provider_id: 1
   - transaction_status_id: 1
   - transaction_method_id: 4 (Express Pay)
   - psp_reference: populated

3. payments_split_commission: commission_type_id=7, commission_amount=500

4. datman_commission: entries for main (id=1) and uplift (id=16)

5. webhook_log: entry created","express_checkout_cs;
price_uplift;
type_id_7;
split_commission;",P1,Automated,UK,NA,CS_EC_TC_077_3ds_sale_price_uplift_refund_to_card.spec.js
