Test Case #,Scenario,Precondition,Test Data,Test steps,Expected Result,Labels,Priority,Automation Status,Countries applicable,Partners applicable,Automation mapped TC
TC103,Express pay Sale - Browser info passed in payload,"- Merchant pointed to Adyen

- Valid Adyen token available

- Customer_id with valid token

- Browser information available","- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: webhook_url

- Browser info in payload:
  - userAgent: ""Mozilla/5.0...""
  - acceptHeader: ""text/html,application/xhtml+xml""
  - language: ""en-US""
  - colorDepth: 24
  - screenHeight: 1080
  - screenWidth: 1920
  - timeZoneOffset: -300
  - javaEnabled: false

- All mandatory fields","1. Process API request with browser info in payload

2. Include complete browser information

3. Pass ""sending"" as ""to""

4. Hit API request

5. Verify browser info sent to Adyen and used for 3DS","1. API returns 200 with Success and payment_id

2. Database verification:

-> gateway_request_log - browser info captured in payload


-> payments table - transaction processed

3. Adyen dashboard verification:

-> Login to Adyen dashboard

-> API logs show browser information

-> Browser details visible: userAgent, screen size, language, etc.

4. Browser info enhances 3DS authentication accuracy","express_checkout_browser_info;
express_checkout_adyen;
3ds_enhancement;",P2,Cant be automated,"AU, UK, US",NA,NA
TC104,Express pay Sale - Device and Browser info combined,"- Merchant pointed to Adyen

- Valid Adyen token available

- Customer_id with valid token

- Complete device and browser data","- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: webhook_url

- Device info: deviceType, deviceOS, deviceModel, deviceId

- Browser info: userAgent, acceptHeader, language, colorDepth, screenHeight, screenWidth, timeZoneOffset, javaEnabled

- All mandatory fields","1. Process API request with both device and browser info

2. Include complete device and browser information

3. Pass ""sending"" as ""to""

4. Hit API request

5. Verify both info sets captured and transmitted","1. API returns 200 with Success and payment_id

2. Database verification:

-> gateway_request_log - both device and browser info in payload

-> payments table - transaction processed with complete metadata


3. Adyen dashboard shows:

-> Device information section populated

-> Browser information section populated

-> Complete context for transaction

4. Enhanced fraud detection with full device/browser context","express_checkout_device_info;
express_checkout_browser_info;
express_checkout_adyen;
",P2,Cant be automated,"AU, UK, US",NA,NA
TC105,Express pay Sale - Email validation - Customer receipt,"- Merchant pointed to Adyen

- Valid Adyen token available

- Customer_id with valid token

- Valid email address","- Email - valid.customer@test.com

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: webhook_url

- Valid email format for receipt

- All mandatory fields","1. Process API request with valid email

2. Pass ""sending"" as ""to""

3. Hit API request

4. Verify transaction success

5. Check email delivery and content

6. Verify email in database","1. API returns 200 with Success and payment_id

2. Database verification:

-> payments table - email_address = 'valid.customer@test.com'

-> Transaction successful

3. Email validation:

-> Customer receives payment confirmation email

-> Email contains transaction details (amount, date, order_id)

-> Email from correct sender

-> Email format professional and accurate

4. Adyen dashboard shows email address correctly","express_checkout_email;
express_checkout_adyen;
customer_communication;
",P2,Cant be automated,"AU, UK, US",NA,NA
TC106,Express pay Sale - Settlement & Reconciliation Report - Dashboard vs Report accuracy,"- Merchant pointed to Adyen

- Multiple successful Express pay transactions completed

- Settlement report generated for specific date range

- Dashboard displaying transaction data

- Access to settlement reconciliation reports","- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: webhook_url

- Multiple transactions with different amounts and dates

- Date range: Specific period (e.g., last 7 days, last month)

- All mandatory fields","1. Complete multiple successful Express pay transactions over a period

2. Access Dashboard and note transaction totals, counts, fees, and net amounts

3. Generate Settlement & Reconciliation Report for the same period

4. Download/export the report

5. Compare Dashboard data with Report data

6. Verify all transactions are accounted for

7. Cross-check with database queries","1. Dashboard and Report data must match:

-> Transaction count matches
-> Gross amount totals match
-> Fee calculations match
-> Net settlement amounts match
-> Transaction dates align correctly

2. Database verification:

-> payments table - sum of gross amounts matches report
-> Calculate total fees from payments table matches report fees
-> Count of transactions matches

3. Report accuracy:

-> All successful transactions included
-> Failed transactions excluded (or marked separately)
-> Refunds properly deducted from settlement
-> Split transactions correctly allocated

4. No discrepancies between Dashboard, Report, and Database

5. Settlement amounts reconcile with Adyen dashboard settlement data","express_checkout_settlement;
express_checkout_adyen;
reconciliation;
reporting;
",P1,Cant be automated,"AU, UK, US",NA,NA
TC107,Express pay Sale - Webhook Retry Logic - 404 Not Found with 15 retries,"- Merchant pointed to Adyen

- Webhook configured

- Wrong/invalid webhook URL provided

- Successful transaction","- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: https://invalid-domain.com/webhook (returns 404)

- All mandatory fields","1. Complete successful Express pay transaction

2. System attempts webhook delivery to invalid URL

3. Receive 404 Not Found error

4. Monitor retry attempts (up to 15 times)

5. Verify retry schedule and final status","1. Initial webhook attempt:

-> Webhook sent to invalid URL
-> Partner endpoint returns: HTTP 404 Not Found

Response:
{
    ""error"": ""Not Found"",
    ""message"": ""Webhook endpoint not found""
}

2. Database verification after first attempt:

-> webhook_log:
   - http_response_code = ""404""
   - delivery_status = ""failed""
   - retry_count = 0
   - next_retry_at = [timestamp]

3. Retry schedule (15 attempts total):

-> Retry 1: after 1 minute
-> Retry 2: after 5 minutes
-> Retry 3: after 15 minutes
-> Retry 4: after 30 minutes
-> Retry 5: after 1 hour
-> Retry 6-15: exponential backoff (2hr, 4hr, 8hr, 12hr, 24hr...)

4. After each retry:

-> webhook_log updated:
   - retry_count incremented
   - Still returns 404
   - next_retry_at updated

5. After 15th retry failure:

-> webhook_log:
   - http_response_code = ""404""
   - delivery_status = ""permanently_failed""
   - retry_count = 15
   - max_retries_reached = true

6. No more retry attempts after 15 failures

7. Alert/notification sent to merchant about webhook delivery failure","express_checkout_webhook;
express_checkout_adyen;
retry_logic;
error_handling;
negative_test;
",P1,Cant be automated,"AU, UK, US",NA,NA
TC108,Express pay Sale - Capture Delay Scenarios - Normal capture timing,"- Merchant pointed to Adyen

- Valid Adyen token available

- Normal Adyen API response time

- Valid customer_id","- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: webhook_url

- All mandatory fields

- Normal network conditions","1. Process Express pay API request

2. Monitor time between authorization and capture

3. Track Adyen API response time

4. Verify database timestamps

5. Compare with expected timing","1. Payment flow timing:

-> Authorization request sent to Adyen
-> Adyen processes authorization (typically <2 seconds)
-> Authorization response received
-> Capture initiated (immediate or delayed based on config)
-> Capture confirmed

2. Database verification:

-> payments table:
   - transaction_time (authorization timestamp)
   - capture_time (capture timestamp)
   - time_difference = capture_time - transaction_time
   - Normal capture: <5 seconds

-> gateway_request_log:
   - request_timestamp
   - response_timestamp
   - duration calculated

3. Timing metrics:

-> Authorization to capture: <5 seconds (normal)
-> Total transaction time: <10 seconds

4. Adyen dashboard shows matched timing

5. No delays in normal operation","express_checkout_capture;
express_checkout_adyen;
timing_validation;
",P2,Cant be automated,"AU, UK, US",NA,NA
TC109,Express pay Sale - Cross-browser & Cross-device Compatibility - Multiple scenarios,"- Merchant pointed to Adyen

- Valid Adyen token available

- Multiple browsers and devices for testing","- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: webhook_url

- Test matrix:
  1. Chrome - Desktop
  2. Chrome - Mobile (Android/iOS)
  3. Chrome - Tablet
  4. Firefox - Desktop
  5. Firefox - Mobile
  6. Safari - Desktop (Mac)
  7. Safari - Mobile (iOS)
  8. Safari - Tablet (iPad)
  9. Edge - Desktop
  10. Edge - Mobile
  11. AI Browsers (Arc, Brave, Opera)

- Device info and browser info for each test

- All mandatory fields","1. Execute Express pay transactions across all browser/device combinations

2. Include appropriate browser and device info in payload for each test

3. Verify UI rendering and functionality in each environment

4. Test 3DS flow in each browser/device

5. Verify transaction success across all scenarios

6. Document any compatibility issues","1. API processes transactions successfully across all browsers and devices:

-> All combinations return 200 with Success and payment_id

2. Database verification for each test:

-> gateway_request_log - specific browser/device user agent captured
-> payments table - transaction_status_id(1) for all
-> Browser and device metadata stored

3. Browser-specific validation:

Chrome (Desktop/Mobile/Tablet):
-> Full compatibility ✓
-> 3DS renders correctly ✓
-> All features functional ✓

Firefox (Desktop/Mobile):
-> Full compatibility ✓
-> 3DS authentication works ✓
-> No rendering issues ✓

Safari (Desktop/Mobile/Tablet):
-> iOS and macOS compatibility ✓
-> 3DS flow functional ✓
-> Webkit rendering correct ✓

Edge (Desktop/Mobile):
-> Chromium-based Edge fully supported ✓
-> 3DS page displays correctly ✓
-> All features work ✓

AI Browsers (Arc, Brave, Opera):
-> Chromium-based browsers compatible ✓
-> Privacy features don't block payment flow ✓
-> 3DS authentication successful ✓

4. Device-specific validation:

Desktop:
-> Large screen rendering optimal ✓
-> All fields easily accessible ✓

Mobile:
-> Responsive design works ✓
-> Touch interactions functional ✓
-> Keyboard input works correctly ✓

Tablet:
-> Medium screen optimization ✓
-> Both portrait and landscape modes ✓

5. 3DS flow compatibility:

-> All browsers handle 3DS redirect correctly
-> OTP input works on all devices
-> Submit buttons functional everywhere
-> Authentication completes successfully

6. No critical compatibility issues found

7. All transactions successful across browser/device matrix

8. Express pay fully cross-browser and cross-device compatible","express_checkout_browser;
express_checkout_adyen;
cross_browser;
cross_device;
compatibility_matrix;
",P1,Cant be automated,"AU, UK, US",NA,NA
TC110,Express pay Sale - Datman Partners (Edining) - Webhook HMAC Signature Validation,"- Merchant should be Datman Partners - Edining

- Valid Express Pay token available for the customer_id

- HMAC secret key is configured for Edining merchant

- Webhook URL is configured and accessible

- Webhook listener is ready to capture requests

- ext_order_id_conversion_mapping table configured

- test_card_mappings configured with datman_cvv","- Refer Apidog documentation for Express pay payload

- Pass valid amount within express pay limit: 75.00 GBP

- Email - testing@datman.je

- Fetch CVV from test_card_mappings table (datman_cvv column)

- api_key : (refer to QA team for Stage key)

- Webhook url: webhook_url

- customer_id: Valid customer with existing token

- Partner: Edining

- Ensure HMAC signature validation is enabled in webhook configuration","1. Fetch card details and CVV from test_card_mappings table using datman_cvv column

2. Process Express Pay API request with valid payload including all mandatory fields (order_id, merchantTokenId, amount, WebhookUrl, customer_id, merchant_id, cvv, email)

3. Hit the API request with valid api_key

4. Wait for transaction completion and webhook dispatch

5. Capture the webhook request sent to the configured webhook URL

6. Inspect the webhook request headers for HMAC signature

7. Extract the raw JSON payload from the webhook body

8. Verify the HMAC signature by computing it using Edining merchant's secret key

9. Validate the JSON payload structure for Express Pay transaction fields","1. API should return 200 response with Success message and payment_id

2. Verify payments table entry:
-> transaction_status_id: 1 (success)
-> transaction_method_id: 4 (Express Pay)
-> merchant_id: Edining merchant ID
-> gross: 75.00
-> currency: GBP
-> order_id: captured

3. Verify ext_order_id_conversion_mapping table:
-> datman_order_ref: fetched and mapped to external order_id
-> mapping exists for the transaction

4. Webhook request is successfully sent to the configured webhook URL

5. HMAC signature is present in the webhook request headers:
-> Header name: 'X-Hmac-Signature' or 'Hmac-Signature'
-> Signature format: HMAC-SHA256 hash value
-> Signature is non-empty and properly formatted

6. Raw JSON payload is visible and readable in the webhook body:
-> Content-Type: application/json
-> Payload contains: order_id, transaction_id, amount, currency, status, psp_reference
-> Payload indicates Express Pay transaction

7. HMAC signature verification:
-> Computed HMAC using Edining secret key matches the signature in headers
-> Signature covers the entire raw payload

8. Verify webhook_log table contains:
-> https_status: 200 (http_response_code)
-> payload: raw JSON stored with Express Pay indicator
-> hmac_signature: signature value stored
-> action: payment_success

9. Verify adyen_webhook_notification_log:
-> AUTHORISATION event logged with success=true","datman_partners_express_pay;
webhook_hmac;
edining;
express_pay_adyen;
webhook_validation;",P1,Cant be automated,"AU, UK, US",NA,NA
TC111,Express pay Sale - Datman Partners (Fastfood) - Webhook HMAC Signature Validation,"- Merchant should be Datman Partners - Fastfood

- Valid Express Pay token available for the customer_id

- HMAC secret key is configured for Fastfood merchant

- Webhook URL is configured and accessible

- Webhook listener is ready to capture requests

- ext_order_id_conversion_mapping table configured

- test_card_mappings configured with datman_cvv","- Refer Apidog documentation for Express pay payload

- Pass valid amount within express pay limit: 85.00 GBP

- Email - testing@datman.je

- Fetch CVV from test_card_mappings table (datman_cvv column)

- api_key : (refer to QA team for Stage key)

- Webhook url: webhook_url

- customer_id: Valid customer with existing token

- Partner: Fastfood

- Ensure HMAC signature validation is enabled in webhook configuration","1. Fetch card details and CVV from test_card_mappings table using datman_cvv column

2. Process Express Pay API request with valid payload including all mandatory fields (order_id, merchantTokenId, amount, WebhookUrl, customer_id, merchant_id, cvv, email)

3. Hit the API request with valid api_key

4. Wait for transaction completion and webhook dispatch

5. Capture the webhook request sent to the configured webhook URL

6. Inspect the webhook request headers for HMAC signature

7. Extract the raw JSON payload from the webhook body

8. Verify the HMAC signature by computing it using Fastfood merchant's secret key

9. Validate the JSON payload structure for Express Pay transaction fields","1. API should return 200 response with Success message and payment_id

2. Verify payments table entry:
-> transaction_status_id: 1 (success)
-> transaction_method_id: 4 (Express Pay)
-> merchant_id: Fastfood merchant ID
-> gross: 85.00
-> currency: GBP
-> order_id: captured

3. Verify ext_order_id_conversion_mapping table:
-> datman_order_ref: fetched and mapped to external order_id
-> mapping exists for the transaction

4. Webhook request is successfully sent to the configured webhook URL

5. HMAC signature is present in the webhook request headers:
-> Header name: 'X-Hmac-Signature' or 'Hmac-Signature'
-> Signature format: HMAC-SHA256 hash value
-> Signature is non-empty and properly formatted

6. Raw JSON payload is visible and readable in the webhook body:
-> Content-Type: application/json
-> Payload contains: order_id, transaction_id, amount, currency, status, psp_reference
-> Payload indicates Express Pay transaction

7. HMAC signature verification:
-> Computed HMAC using Fastfood secret key matches the signature in headers
-> Signature covers the entire raw payload

8. Verify webhook_log table contains:
-> https_status: 200 (http_response_code)
-> payload: raw JSON stored with Express Pay indicator
-> hmac_signature: signature value stored
-> action: payment_success

9. Verify adyen_webhook_notification_log:
-> AUTHORISATION event logged with success=true","datman_partners_express_pay;
webhook_hmac;
fastfood;
express_pay_adyen;
webhook_validation;",P1,Cant be automated,"AU, UK, US",NA,NA
TC112,Express pay Sale - End-to-End (UI + Dashboard + Payload + Token + Fund Transfer),"- Merchant should be pointed to Adyen

- A valid token (preferably Adyen token or if Token precedency is being used - Valid other PSP token should be available for the customer id used)

- A valid registered customer_id in our system having token saved should be used in payload","- Refer the Apidog documentation for Express pay payload: 
apidog_docs

- Pass valid amount value within the express pay limit of merchant/country

- Email - testing@datman.je

- CVV: 737 (Adyen Test credentials)

- api_key : (refer to the QA team for Stage key)

- Webhook url: webhook_url

- Make sure to pass the value of address, AddressOnFile and avs objects in following format - 

""address"": {
        ""house_number"": """",
        ""flat"": """",
        ""address1"": """",
        ""address2"": """",
        ""postcode"": """"
    },
    ""avs"": {
        ""house_number"": """",
        ""postcode"": """"
    },
    ""AddressOnFile"": [
        {
            ""AvsHouseNumber"": """",
            ""AvsPostcode"": """"
        }
    ],","1. Process the API request in the given build with a valid payload comprising of all mandatory fields (order_id, merchantTokenId, amount, WebhookUrl, customer_id, merchant_id, provider, firstname, lastname, sending, address, avs, AddressOnFile, cvv and email) with valid api_key

2. Make sure to pass the ""sending"" value as ""to"" for delivery sale

3. Hit the API request once all the valid details are passed on the payload

4. Verify able to see the API response is giving 200 response code and the API response is Success and payment_id is displayed","1. The API request should return 200 response and with the response message as Success and payment id

2. Capture the order_id and verify the entry is captured on Datman system in following tables

-> gateway_request_log - entry should be created in this table with the raw payload passed

-> payments - verify the necessary information [transaction_status_id(1 is success), payment_provider_id (5 for Adyen), transaction_method_id (4 for Express pay), transaction_time (valid BST time when transaction is initiated), firstname, lastname, psp_reference (adyen reference), merchant_id, country_code, currency_code, fee(calculated fee based on fee_tier of merchant), net(gross-fee), gross(total amount passed in payload), internal_reference (in the form of (O<order_id>M<merchant_id>T<payment_id>), last_4_digits, email_address, shopper_id]

-> webhook_log - Once the payment is completed and authenticated from Adyen, verify webhook entry is available in this table with necessary information [ webhook_url, action (payment_success), encrypted_payload, http_response_code (""200"" for success), 
payload (raw payload notified to partner - 
{
""transaction_id"": <id>,
""customer_id"": <customer_id>,
""order_info_id"": <order_id>,
""amount"": ""<amount>"",
""reference"": ""testing"",
""metadata"": {
""query_param1"": ""12345"",
""query_param2"": ""abcdef"",
""query_param3"": ""$%^&""
}
} )

-> adyen_webhook_notification_log - event (""AUTHORISATION - true"" - once authorized from Adyen, reference(O<order_id>M<merchant_id>T<payment_id>), merchant_id, payload (adyen payload)

3. Using the psp_reference value - login to Adyen dashboard for that particular region and verify the following:
a) Payment lifecycle
b) Transaction amount
c) Splits involved","express_checkout_non_3ds;
express_checkout_adyen;",P1,Automated,"AU, UK, US",NA,"AD_EC_TC_001_uk_sale_refund_to_card_sanity.spec.js
AD_EC_TC_002_us_sale_refund_to_card.spec.js
AD_EC_TC_002_au_sale_refund_to_card.spec.js"
TC113,Express pay Sale - Split validations - Type 1 (Food/Goods),"- Merchant should be pointed to Adyen

- Valid Adyen token available for the customer_id

- Partner merchant IDs configured for split transactions

- Split type configuration enabled for the merchant","- Refer Apidog documentation for Express pay payload with SplitFee

- Pass valid amount within express pay limit

- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team for Stage key)

- Webhook url: webhook_url

- SplitFee array with type_id: 1 (Food/Goods):
""SplitFee"":[{""partner_merchant_id"":""663208111"",""type_id"":1,""value_type"":""amount"",""value"":""10.00""}]

- Ensure total split amount does not exceed transaction amount","1. Process API request with valid payload including all mandatory fields and SplitFee array with type_id: 1

2. Pass ""sending"" value as ""to"" for delivery sale

3. Hit the API request

4. Verify 200 response code with Success message and payment_id","1. API should return 200 response with Success message and payment_id

2. Verify database entries:

-> gateway_request_log - raw payload with SplitFee array captured

-> payments - transaction_status_id(1), payment_provider_id(5), transaction_method_id(4), gross amount, fee, net calculations

-> payments_split_commission table - verify split entry with [commission_type_id(1 for Food/Goods), partner_merchant_id(663208111), amount(10.00), merchant_payments_id, partner_payments_id]

-> webhook_log - webhook sent with payment_success action

-> adyen_webhook_notification_log - AUTHORISATION event logged

3. Verify in Adyen dashboard:
a) Split information showing Food/Goods type
b) Partner merchant allocation
c) Split amount distribution","express_checkout_splits;
express_checkout_adyen;
split_type_food_goods;
",P1,Automated,"AU, UK, US",NA,"AD_EC_TC_023_au_3ds_sale_with_split_sanity.spec.js
AD_EC_TC_029_uk_sale_split_with_full_refund.spec.js
AD_EC_TC_052_us_3ds_sale_with_split_pay_by_link_full_refund_to_wallet.spec.js"
TC114,Express pay Sale - Split validations - Type 2 (Marketplace Fee),"- Merchant should be pointed to Adyen

- Valid Adyen token available for the customer_id

- Partner merchant IDs configured for split transactions","- Refer Apidog documentation for Express pay payload

- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: webhook_url

- SplitFee array with type_id: 2 (Marketplace Fee):
""SplitFee"":[{""partner_merchant_id"":""663192253"",""type_id"":2,""value_type"":""amount"",""value"":""5.00""}]","1. Process API request with valid payload including SplitFee array with type_id: 2

2. Pass ""sending"" as ""to""

3. Hit the API request

4. Verify 200 response with payment_id","1. API returns 200 with Success and payment_id

2. Database verification:

-> gateway_request_log - SplitFee payload captured

-> payments - standard transaction fields validated

-> payments_split_commission - commission_type_id(2 for Marketplace Fee), partner_merchant_id(663192253), amount(5.00)

-> webhook_log - payment_success webhook sent

3. Adyen dashboard shows Marketplace Fee split correctly allocated","express_checkout_splits;
express_checkout_adyen;
split_type_marketplace;
",P1,Automated,"AU, UK, US",NA,"AD_EC_TC_023_au_3ds_sale_with_split_sanity.spec.js
AD_EC_TC_029_uk_sale_split_with_full_refund.spec.js
AD_EC_TC_052_us_3ds_sale_with_split_pay_by_link_full_refund_to_wallet.spec.js"
TC115,Express pay Sale - Split validations - Type 3 & 4 (Delivery Fee + Delivery Tip),"- Merchant pointed to Adyen

- Valid Adyen token available

- Multiple partner merchant IDs configured","- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: webhook_url

- Multiple splits in SplitFee array:
""SplitFee"":[{""partner_merchant_id"":""663208111"",""type_id"":4,""value_type"":""amount"",""value"":""1.00""},{""partner_merchant_id"":""663192253"",""type_id"":3,""value_type"":""amount"",""value"":""2.00""}]

- Transaction amount should cover total splits + base amount","1. Process API request with SplitFee containing both type_id 3 (Delivery Fee) and type_id 4 (Delivery Tip)

2. Pass ""sending"" as ""to""

3. Hit API request

4. Verify 200 response","1. API returns 200 with Success and payment_id

2. Database verification:

-> gateway_request_log - complete SplitFee array logged

-> payments - gross amount includes all splits

-> payments_split_commission - verify TWO entries:
   Entry 1: commission_type_id(4), partner_merchant_id(663208111), amount(1.00)
   Entry 2: commission_type_id(3), partner_merchant_id(663192253), amount(2.00)

-> webhook_log - payment_success notification sent

3. Adyen dashboard shows both splits (Delivery Fee and Delivery Tip) allocated to respective partner merchants","express_checkout_splits;
express_checkout_adyen;
split_type_delivery;
multiple_splits;
",P1,Automated,"AU, UK, US",NA,"AD_EC_TC_023_au_3ds_sale_with_split_sanity.spec.js
AD_EC_TC_029_uk_sale_split_with_full_refund.spec.js
AD_EC_TC_052_us_3ds_sale_with_split_pay_by_link_full_refund_to_wallet.spec.js"
TC116,Express pay Sale - Split validations - Type 5 & 6 (Restaurant Tip + Service Charge),"- Merchant pointed to Adyen

- Valid Adyen token available

- Partner merchant configuration for tips and service charges","- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: webhook_url

- SplitFee with type_id 5 and 6:
""SplitFee"":[{""partner_merchant_id"":""663208111"",""type_id"":5,""value_type"":""amount"",""value"":""3.00""},{""partner_merchant_id"":""663192253"",""type_id"":6,""value_type"":""amount"",""value"":""2.50""}]","1. Process API request with SplitFee containing type_id 5 (Restaurant Tip) and type_id 6 (Service Charge)

2. Pass ""sending"" as ""to""

3. Hit API request

4. Verify 200 response","1. API returns 200 with Success and payment_id

2. Database verification:

-> gateway_request_log - SplitFee array with both types captured

-> payments - transaction processed successfully with correct gross amount

-> payments_split_commission - TWO entries verified:
   Entry 1: commission_type_id(5 for Restaurant Tip), partner_merchant_id(663208111), amount(3.00)
   Entry 2: commission_type_id(6 for Service Charge), partner_merchant_id(663192253), amount(2.50)

-> webhook_log - webhook delivered successfully

3. Adyen dashboard reflects Restaurant Tip and Service Charge splits correctly","express_checkout_splits;
express_checkout_adyen;
split_type_tip_service;
",P1,Automated,"AU, UK, US",NA,"AD_EC_TC_023_au_3ds_sale_with_split_sanity.spec.js
AD_EC_TC_029_uk_sale_split_with_full_refund.spec.js
AD_EC_TC_052_us_3ds_sale_with_split_pay_by_link_full_refund_to_wallet.spec.js"
TC117,Express pay Sale - Collection sale with address values,"- Merchant pointed to Adyen

- Valid Adyen token available for customer_id

- Collection sale enabled for merchant","- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: webhook_url

- Pass ""sending"" value as ""collection""

- Include address, avs, AddressOnFile objects:
""address"": {""house_number"": ""123"",""flat"": ""A"",""address1"": ""Test Street"",""address2"": ""Test Area"",""postcode"": ""AB12 3CD""},
""avs"": {""house_number"": ""123"",""postcode"": ""AB12 3CD""},
""AddressOnFile"": [{""AvsHouseNumber"": ""123"",""AvsPostcode"": ""AB12 3CD""}]","1. Process API request with all mandatory fields

2. Pass ""sending"" value as ""collection"" (for pickup)

3. Include address values in payload

4. Hit API request

5. Verify 200 response with payment_id","1. API returns 200 with Success and payment_id

2. Database verification:

-> gateway_request_log - payload with ""sending"":""collection"" and address values captured

-> payments - transaction_status_id(1), payment_provider_id(5), transaction_method_id(4), address fields populated from payload

-> webhook_log - payment_success webhook sent

-> adyen_webhook_notification_log - AUTHORISATION event recorded

3. Adyen dashboard shows transaction as collection/pickup type with address information","express_checkout_collection;
express_checkout_adyen;
collection_with_address;
",P2,Automated,"AU, UK, US",NA,AD_EC_TC_011_au_collection_sale.spec.js
TC118,Express pay Sale - Collection sale without address values,"- Merchant pointed to Adyen

- Valid Adyen token available

- Collection sale enabled for merchant","- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: webhook_url

- Pass ""sending"" value as ""collection""

- Pass empty/null address values:
""address"": {""house_number"": """",""flat"": """",""address1"": """",""address2"": """",""postcode"": """"},
""avs"": {""house_number"": """",""postcode"": """"},
""AddressOnFile"": [{""AvsHouseNumber"": """",""AvsPostcode"": """"}]

- Address is not mandatory for collection sales","1. Process API request with mandatory fields

2. Pass ""sending"" as ""collection""

3. Pass empty/null address values in payload

4. Hit API request

5. Verify 200 response","1. API returns 200 with Success and payment_id (address not mandatory for collection)

2. Database verification:

-> gateway_request_log - payload with ""sending"":""collection"" and empty address fields

-> payments - transaction processed successfully with transaction_status_id(1), address fields empty/null

-> webhook_log - payment_success notification sent

3. Adyen dashboard shows collection transaction processed without address requirement","express_checkout_collection;
express_checkout_adyen;
collection_without_address;
",P2,Automated,"AU, UK, US",NA,"AD_EC_TC_077_au_collection_sale_without_address.spec.js
AD_EC_TC_162_uk_collection_sale_without_address.spec.js
AD_EC_TC_084_us_collection_sale_without_address.spec.js"
TC119,Express pay Sale - 3DS authentication flow,"- Merchant pointed to Adyen

- Valid Adyen token requiring 3DS authentication

- 3DS enabled for merchant/card combination

- Customer_id with valid token","- Email - testing@datman.je

- CVV: 737 (or 3DS test CVV)

- api_key : (refer to QA team)

- Webhook url: webhook_url

- Use card/token that triggers 3DS challenge

- Browser information may be required for 3DS flow","1. Process API request with valid payload

2. Pass ""sending"" as ""to""

3. Hit API request

4. Transaction should redirect to 3DS authentication page

5. Complete 3DS authentication (enter OTP/password)

6. Verify transaction completion after successful 3DS auth","1. Initial API response initiates 3DS flow with redirect URL

2. User is redirected to 3DS authentication UI

3. After successful 3DS authentication, transaction completes

4. Database verification:

-> gateway_request_log - payload captured

-> payments - transaction_status_id(1), payment_provider_id(5), transaction_method_id(4), 3DS authentication flags set


-> webhook_log - payment_success sent after 3DS completion

-> adyen_webhook_notification_log - AUTHORISATION event with 3DS details

5. Adyen dashboard shows 3DS authentication successful and payment lifecycle complete
5. All split types must be valid for transaction to proceed.""","express_checkout_3ds;
express_checkout_adyen;
3ds_authentication;",P1,Automated,"AU, UK, US",NA,"AD_EC_TC_005_au_3ds_sale_sanity.spec.js
AD_EC_TC_015_au_3ds_sale_refund_to_card.spec.js
AD_EC_TC_016_au_3ds_sale_refund_to_wallet.spec.js
AD_EC_TC_004_uk_3ds_sale.spec.js"
TC120,Express pay Sale - Non-3DS flow,"- Merchant pointed to Adyen

- Valid Adyen token (non-3DS card)

- Card/transaction qualifies for non-3DS processing","- Email - testing@datman.je

- CVV: 737

- api_key : (refer to QA team)

- Webhook url: webhook_url

- Use card/token that processes without 3DS

- Standard payload with all mandatory fields","1. Process API request with valid payload

2. Pass ""sending"" as ""to""

3. Hit API request

4. Transaction should process directly without 3DS challenge

5. Verify immediate 200 response","1. API returns immediate 200 response with Success and payment_id (no 3DS redirect)

2. Database verification:

-> gateway_request_log - payload logged

-> payments - transaction_status_id(1), payment_provider_id(5), transaction_method_id(4), 3DS flags not set or set to false


-> webhook_log - payment_success webhook

-> adyen_webhook_notification_log - AUTHORISATION event

3. Adyen dashboard shows non-3DS transaction processed successfully","express_checkout_non_3ds;
express_checkout_adyen;",P1,Automated,"AU, UK, US",NA,"AD_EC_TC_002_au_sale_refund_to_card.spec.js
AD_EC_TC_003_au_sale_refund_to_wallet_sanity.spec.js
AD_EC_TC_004_au_sale_partial_refund.spec.js"
